sentence	paraphrase	reference
When his elderly mother died, a man from Wolfsburg devised a plan.	Upon his elderly mother 's death, a man from Wolfsburg devised a plan.	Als seine betagte Mutter starb, schmiedete ein Mann aus Wolfsburg einen Plan.
Firefighters abseil down cliff face to pluck the dog from certain death	Firefighters abseil down cliff face for plucking out the dog from certain death	Feuerwehrleute seilten sich an Felswand ab und retteten den Hund vor dem sicherem Tod
They had searched frantically for their missing dog and posted appeals on social networking sites after she had ran into the quarry following the minor accident.	They had searched frantically for their missing dog and posted appeals on social networking sites after her run into the quarry following the minor accident.	Sie hatten verzweifelt nach ihrer vermissten Hündin gesucht und Hilferufe in sozialen Netzwerken veröffentlicht, als sie nach dem kleinen Verkehrsunfall in den Steinbruch entlaufen war.
Previous tobacco vaccines failed because they contained antibodies.	Previous tobacco vaccines failed because of their containment of antibodies.	Frühere Tabakimpfstoffe schlugen fehl, weil sie Antikörper enthielten.
"At a pawnshop in Bendemeer shopping centre in Singapore, Janani Amirthalinga is swapping a gold bangle, ring and pair of earrings to pay her daughters"" school fees."	"At a pawnshop in Bendemeer shopping centre in Singapore, Janani Amirthalinga is swapping a gold bangle, ring and pair of earrings for payment of her daughters"" school fees."	In einem Pfandhaus im Einkaufszentrum Bendemeer in Singapur tauscht Janani Amirthalinga einen goldenen Armreif, einen Ring und ein Paar Ohrringe ein, um die Schulgebühren ihrer Töchter bezahlen zu können.
Pressure has been building on the FAA in recent years to ease restrictions on their use.	Pressure has been building on the FAA in recent years for easing restrictions on their use.	In den letzten Jahren hat sich der Druck auf die FAA erhöht, Einschränkungen für den Gebrauch zu lockern.
General Motors Co is recalling nearly 19,000 of its all-new 2014 Chevrolet Silverado and GMC Sierra pickup trucks to repair a problem with the manual reclining seatback, according to a notice from U.S. auto safety regulators on Friday.	General Motors Co is recalling nearly 19,000 of its all-new 2014 Chevrolet Silverado and GMC Sierra pickup trucks for repair following a problem with the manual reclining seatback, according to a notice from U.S. auto safety regulators on Friday.	General Motors rufe knapp 19.000 seiner brandneuen Chevrolet Silverado- und GMC Sierra-Pickup-Trucks mit Baujahr 2014 zurück, um ein Problem mit der manuell verstellbaren Sitzlehne zu beheben, so eine Mitteilung der US-amerikanischen Regulierungsbehörde für Fahrzeugsicherheit am Freitag.
That person will receive $ 250,000 to continue their extraordinary work.	That person will receive $ 250,000 for continuation of their extraordinary work.	Der Sieger erhält 250.000 Dollar zur Fortsetzung seiner außergewöhnlichen Arbeit.
Rainer Schulze is an expert when it comes to the Cologne underworld.	Rainer Schulze is an expert with its comeback to the Cologne underworld.	Rainer Schulze ist Experte in Sachen Kölner Unterwelt.
Phuket police interviewed Bamford for two days before she confessed to fabricating the story.	Phuket police interviewed Bamford for two days before her confession to fabricating the story.	Die Polizei in Phuket verhörte Bamford zwei Tage lang, bis sie gestand, sich die Geschichte ausgedacht zu haben.
India's new prime minister, Narendra Modi, is meeting his Japanese counterpart, Shinzo Abe, in Tokyo to discuss economic and security ties, on his first major foreign visit since winning May's election.	India's new prime minister, Narendra Modi, is meeting his Japanese counterpart, Shinzo Abe, in Tokyo for discussion of economic and security ties, on his first major foreign visit since winning May's election.	Indiens neuer Premierminister Narendra Modi trifft bei seinem ersten wichtigen Auslandsbesuch seit seinem Wahlsieg im Mai seinen japanischen Amtskollegen Shinzo Abe in Toko, um wirtschaftliche und sicherheitspolitische Beziehungen zu besprechen.
A hearing will be scheduled within a month for the judge to make a more permanent ruling on the law.	A hearing will be scheduled within a month for the judge for making a more permanent ruling on the law.	Innerhalb eines Monats wird eine Anhörung für den Richter angesetzt, um für das Gesetz eine dauerhaftere Entscheidung herbeizuführen.
When he died, on February 17 this year, he was 55.	At his death, on February 17 this year, he was 55.	Als er am 17. Februar dieses Jahres starb, war er 55.
"""Hello, Cancer Central,"" he would announce cheerily when they called."	"""Hello, Cancer Central,"" he would announce cheerily at their call."	"""Hallo, Krebszentrale,"" stellte er sich bei Anrufen fröhlich vor."
Eleven teams go head to head	Eleven teams go head for head	Elf Teams in Rundenwettkämpfen
More than 40,000 members of the security forces have been deployed to protect the government district.	More than 40,000 members of the security forces have been deployed for protection of the government district.	Mehr als 40 000 Sicherheitskräfte sind im Einsatz, um das Regierungsviertel zu schützen.
After Renzi had assumed his position as EU-Chairman in July, Mogherini embarked on her first state visit to Moscow.	After Renzi 's assumption of his position as EU-Chairman in July, Mogherini embarked on her first state visit to Moscow.	Nachdem Renzi im Juli seine Amtszeit als EU-Vorsitzender angetreten hatte, reiste Mogherini zu ihrem ersten Staatsbesuch nach Moskau.
The boy (12) had driven down to Oberusel in the morning, only to immediately go back up again.	The boy (12) had driven down to Oberusel in the morning, only for immediately going back up again.	Der Junge (12) war am Morgen nach Oberursel hinuntergefahren, um gleich darauf wieder auf die Höhe zu strampeln.
They went to work boldly, but often too uninspired in their offensive efforts.	They went for work boldly, but often too uninspired in their offensive efforts.	Sie gingen mutig ran, bei ihren offensiven Bemühungen aber oft zu einfallslos zu Werke.
"With ""Illinois"" (""Sufjan Stevens Invites You To: Come On Feel The Illinoise"") in 2005, a widely acclaimed masterpiece is released."	"With ""Illinois"" (""Sufjan Stevens Invites You For: coming On Feel The Illinoise"") in 2005, a widely acclaimed masterpiece is released."	"Mit ""Illinois"" (""Sufjan Stevens Invites You To: Come on Feel The Illinoise"") erscheint 2005 ein flächendeckend gefeiertes Meisterwerk."
BBC News went to meet one of the project's first graduates.	BBC News went for meeting with one of the project's first graduates.	BBC News hat einen der ersten Absolventen des Projekts getroffen.
Grocery wholesaler Metcash has kicked off a grassroots campaign to defend the market share of IGA retailers in South Australia and Western Australia ahead of a $ 700 million Aldi invasion.	Grocery wholesaler Metcash has kicked off a grassroots campaign for defense of the market share of IGA retailers in South Australia and Western Australia ahead of a $ 700 million Aldi invasion.	Lebensmittel-Großhändler Metcash hat eine Bodenständigkeits-Kampagne gestartet, um den Marktanteil der IGA-Einzelhändler in South Australia und Western Australia im Vorfeld einer 700 Millionen $ Aldi-Invasion zu verteidigen.
German Chancellor Angela Merkel and Austria called Tuesday for a special European Union summit next week to discuss the continent's immigration crisis.	German Chancellor Angela Merkel and Austria called Tuesday for a special European Union summit next week for discussion of the continent's immigration crisis.	Bundeskanzlerin Angela Merkel und Österreich forderten am Dienstag einen Sondergipfel der Europäischen Union, um die Einwanderungskrise des Kontinents zu besprechen.
Nearly two years after a college student died during a fraternity hazing ritual in Pennsylvania's Pocono Mountains, murder charges have been filed against five people.	Nearly two years after a college student 's death during a fraternity hazing ritual in Pennsylvania's Pocono Mountains, murder charges have been filed against five people.	Fast zwei Jahre, nachdem ein Student während eines schikanösen Rituals einer Studentenverbindung in Pocono Mountains, Pennsylvania, verstarb, werden Mordanklagen gegen fünf Personen eingereicht.
Kingfisher posted a fall in both half-year profit and sales after the group shouldered the cost of shutting stores.	Kingfisher posted a fall in both half-year profit and sales after the group 's shouldering the cost of shutting stores.	Kingfisher vermeldete einen Rückgang beim Halbjahresgewinn und den Umsätzen, nachdem die Gruppe die Kosten für das Schließen der Läden schulterte.
We will also need sufficient housing space to accommodate the influx of refugees over the next decades.	We will also need sufficient housing space for accommodation for the influx of refugees over the next decades.	Angesichts des Flüchtlingsstroms benötigen wir auch in den nächsten Jahrzehnten genügend Wohnraum.
Perhaps it's because a beautiful handbag can enhance any outfit.	Perhaps it's because of a beautiful handbag 's enhancement of any outfit.	Vielleicht liegt es daran, dass eine schöne Tasche jedes Outfit aufwertet.
Scots unemployment remains unchanged as UK total rises	Scots unemployment remains unchanged with UK total 's rise	Arbeitslosigkeit in Schottland bleibt unverändert, während sie im Vereinigten Königreich insgesamt steigt.
We often laugh a lot when we talk.	We often laugh a lot during our talk.	Wir lachen oft viel, wenn wir sprechen.
Friendship lies at the heart of the battle to meet this challenge.	Friendship lies at the heart of the battle for meeting this challenge.	Freundschaft ist das Herzstück im Kampf, um diese Herausforderung zu meistern.
The U.S. President and First Lady Michelle Obama will also host Xi and his wife Peng Liyuan at a state dinner that evening, after the two leaders have engaged in bilateral talks.	The U.S. President and First Lady Michelle Obama will also host Xi and his wife Peng Liyuan at a state dinner that evening, after the two leaders ' engagement in bilateral talks.	Der US-Präsident und die First Lady Michelle Obama werden an diesem Abend auch Gastgeber von Xi und seiner Frau Peng Liyuan bei einem Staats-Diner sein, nachdem die beiden Staatsführer bilaterale Gespräche geführt haben.
After the discussion aired, social media exploded in disapproval over Damon's comments.	After the discussion 's airing, social media exploded in disapproval over Damon's comments.	Nachdem die Diskussion ausgestrahlt wurde, explodierten die Sozialen Medien vor Missbilligung über Damons Kommentare.
Foodwatch is calling for consumers to protest against the EU plans under: www.quecksilber-aktion.foodwatch.de	Foodwatch is calling for consumers for protest against the EU plans under: www.quecksilber-aktion.foodwatch.de	Foodwatch ruft Verbraucher zum Protest gegen die Pläne der EU auf unter: www.quecksilber-aktion.foodwatch.de
When they arrive in Germany, they are often traumatised.	Upon their arrival in Germany, they are often traumatised.	Wenn sie in Deutschland ankommen, sind sie oft traumatisiert.
Simone, Gabby and Laurie all took the same path as Aly and Madison to make the Olympic team.	Simone, Gabby and Laurie all took the same path as Aly and Madison for making the Olympic team.	Simone, Gabby und Laurie schlugen alle den gleichen Weg wie Aly und Madison ein, um es ins olympische Team zu schaffen.
Give police powers to set up cordons around polling stations.	Give police powers for setting up cordons around polling stations.	Der Polizei die Befugnis geben, Absperrungen um Wahlstationen einzurichten.
To be clear, Byron's comments were related to the swimmer's performance, not to her as an individual.	For being clear, Byron's comments were related to the swimmer's performance, not to her as an individual.	Um eins klarzustellen, Byrons Kommentare bezogen sich auf die Leistung der Schwimmerin und nicht auf sie als Person.
Presenter and travel writer Ian Wright, 51, from Suffolk, scraped his tongue along a Euro note, a Piccadilly Circus hand rail, a train toilet's flush button and a Russian public telephone to prove the strength of his immune system.	Presenter and travel writer Ian Wright, 51, from Suffolk, scraped his tongue along a Euro note, a Piccadilly Circus hand rail, a train toilet's flush button and a Russian public telephone for proof of the strength of his immune system.	Der Moderator und Reiseautor Ian Wright, 51, aus Suffolk schabte seine Zuge auf einem Euro-Schein, einem Geländer am Piccadilly Circus, einem Spülknopf einer Zugtoilette sowie einem öffentlichen Telefon in Russland, um die Widerstandsfähigkeit seines Immunsystems unter Beweis zu stellen.
After he had beaten 16 rivals from within the Republican camp, doubt is now growing as to whether he will be successful in the race for the White House.	After his beating of 16 rivals from within the Republican camp, doubt is now growing as to whether he will be successful in the race for the White House.	Nachdem er 16 Rivalen innerhalb des eigenen republikanischen Lagers aus dem Rennen geworfen hat, wachsen nun die Zweifel an seinem Erfolg im Kampf um das Weiße Haus.
"Thuringia's ""Volks- und Raffeisen Bank"" in Altenburger Land hit the headlines in 2014 when their Skatbank branch imposed penalty interest on investments of more than three million euros."	"Thuringia's ""Volks- und Raffeisen Bank"" in Altenburger Land hit the headlines in 2014 with their Skatbank branch 's imposition of penalty interest on investments of more than three million euros."	Mit Strafzinsen für Einlagen ab drei Millionen Euro hatte die Thüringer Volks- und Raiffeisenbank Altenburger Land mit ihrer Skatbank-Filiale 2014 Schlagzeilen gemacht.
The bruising beating of the Boks, 7-5 in the semi-final earlier in the day, may have come back to bite them in the final.	The bruising beating of the Boks, 7-5 in the semi-final earlier in the day, may have come back for biting them in the final.	Die deutliche Niederlage der Boks, 7-5 im Halbfinale am selben Tag könnte auf sie im Finale zurückfallen.
However, the largest challenge and most difficult shift was when the pipe broke on the Kirchlauter elevated tank on 3 January one year.	However, the largest challenge and most difficult shift was at the pipe 's breaking on the Kirchlauter elevated tank on 3 January one year.	Die größte Herausforderung und der schwierigste Einsatz waren aber der Rohrbruch am Hochbehälter bei Kirchlauter an einem 3. Januar.
This search is now happening across Germany, because Sven S. might be travelling by car.	This search is now happening across Germany, because of Sven S. 's travel by car.	Mittlerweile bundesweit, denn Sven S. könnte mit dem Auto unterwegs sein.
Ethiopia's new prime minister, Hailemariam Desalegn, was plucked from relative obscurity to fill Mr. Meles's shoes.	Ethiopia's new prime minister, Hailemariam Desalegn, was plucked from relative obscurity for filling Mr. Meles's shoes.	Äthiopiens neuer Premierminister, Hailemariam Desalegn, wurde aus relativ undurchsichtigen Gründen ausgewählt, um die Stellung von Herrn Meles einzunehmen.
They generally only come to the surface in winter because they prefer water temperatures of around six degrees Celsius.	They generally only come to the surface in winter because of their preference for water temperatures of around six degrees Celsius.	Weil sie Wassertemperaturen um die sechs Grad Celsius bevorzugen, tauchen sie an der Oberfläche meist nur im Winter auf.
The device is still available online for fans to buy for a couple of euros, even though it comes from the stone age of the Internet.	The device is still available online for fans for purchase for a couple of euros, even though it comes from the stone age of the Internet.	Für ein paar Euro können Liebhaber die Geräte noch im Internet kaufen, doch sie stammen irgendwie aus der Steinzeit des Internetzeitalters.
Bulgaria's Prime Minister Bojko Borissow spoke up immediately to criticise the athlete.	Bulgaria's Prime Minister Bojko Borissow spoke up immediately for criticising the athlete.	Bulgariens Ministerpräsident Bojko Borissow meldete sich umgehend mit Kritik an der Athletin zu Wort.
The district authorities deliberately chose the less busy period of the school holidays for the extension of the right-hand turning lane, because it will cause delays.	The district authorities deliberately chose the less busy period of the school holidays for the extension of the right-hand turning lane, because of its causation of delays.	Für die Verlängerung der Rechtsabbiegespur hat der Landesbetrieb bewusst die verkehrsschwächere Zeit in den Schulferien ausgesucht, weil mit Behinderungen zu rechnen sei.
But what should you do when nobody listens to you?	But what should you do as nobody 's listening to you?	Aber was soll man denn machen, wenn einem nie jemand zuhört?
Nobody was in the mood to listen.	Nobody was in the mood for listening.	Niemand war in der Stimmung zuzuhören.
EPA Chief Pruitt Backtracks on Delaying Obama-Era Rules to Reduce Emissions	EPA Chief Pruitt Backtracks on Delaying Obama-Era Rules for Reduction in Emissions	EPA-Chef Pruitt zieht sich wegen des Hinauszögerns der Regeln der Obama-Era zur Verringerung der Emissionen zurück
Before Swiss concluded a contract with the Migros subsidiary, Barry Callebaut had supplied the chocolate bars, in collaboration with Hug.	Before Swiss ' conclusion of a contract with the Migros subsidiary, Barry Callebaut had supplied the chocolate bars, in collaboration with Hug.	Bevor die Swiss einen Vertrag mit der Migros Tochter abschloss, hatte Barry Callebaut in Zusammenarbeit mit Hug die Schokolade-Tablets geliefert.
Half as many were clocked up by Herbert Mair and Dorothee Reixinger, while Tamara Pfrommer, Petra Schleeh, Stefanie Stoll and Uwe Vetter each gave 500 millilitres of their lifeblood.	Half as many were clocked up by Herbert Mair and Dorothee Reixinger, with Tamara Pfrommer, Petra Schleeh, Stefanie Stoll and Uwe Vetter each 's gift of 500 millilitres of their lifeblood.	Halb so viele verbuchen Herbert Mair und Dorothee Riexinger, während Tamara Pfrommer, Petra Schleeh, Stefanie Stoll und Uwe Vetter zehn Mal je 500 Milliliter von ihrem Lebenssaft abgaben.
"Nine Weilermer Bikers, the ""Berlin outpost"", and two guest riders met in Wachenheim in North Palatinate to enjoy four days of trials and attractions."	"Nine Weilermer Bikers, the ""Berlin outpost"", and two guest riders met in Wachenheim in North Palatinate for enjoyment of four days of trials and attractions."	"Neun Weilermer Biker, der ""Berliner Außenposten"" und zwei Gastfahrer trafen sich in Wachenheim in der Nordpfalz, um vier Tage lang Trials und Sehenswürdigkeiten zu genießen."
That same year, Valdez won the International Press Freedom Award of the Committee to Protect Journalists for his courage in pursuing the Mexican drug story wherever it led.	That same year, Valdez won the International Press Freedom Award of the Committee for Protection of Journalists for his courage in pursuing the Mexican drug story wherever it led.	Im selben Jahr gewann Valdez den 'International Press Freedom Award' des Komitees zum Schutz von Journalisten für seinen Mut bei der Verfolgung der mexikanischen Drogengeschichte, wo auch immer sie hinführte.
How one activist came to learn the answer to the question: 'Whose Streets?'	How one activist came for learning about the answer to the question: 'Whose Streets?'	"Wie eine Aktivistin dazu kam, die Antwort auf die Frage zu lernen: ""Whose Streets?"""
"The White House Military Office requested the helicopter's presence in a fragmentary order, or FRAGO, barely 36 hours before the helicopter landed on the South Lawn for the ""unusual"" event, according to the records of Marine Helicopter Squadron One (HMX-1), the unit responsible for operating the helicopter."	"The White House Military Office requested the helicopter's presence in a fragmentary order, or FRAGO, barely 36 hours before the helicopter 's landing on the South Lawn for the ""unusual"" event, according to the records of Marine Helicopter Squadron One (HMX-1), the unit responsible for operating the helicopter."	Das Militärbüro des Weißen Hauses verlangte die Anwesenheit des Hubschraubers in einer fragmentarischen Ordnung oder FRAGO, kaum 36 Stunden bevor der Hubschrauber auf dem South Lawn landete, nach den Aufzeichnungen des Marine Helicopter Squadron One (HMX-1), der Einheit, die für den Betrieb des Hubschraubers verantwortlich ist.
